,algo,env_id,seed,episode_index,episodic_return,episode_length,max_episode_steps,duration_rate,weights
0,sac,Pusher-v5,1,0,-30.997390636075902,100,100,1.0,ga2
1,sac,Pusher-v5,1,1,-36.23492606827733,100,100,1.0,ga2
2,sac,Pusher-v5,1,2,-40.99909398759758,100,100,1.0,ga2
3,sac,Pusher-v5,1,3,-33.8658741646218,100,100,1.0,ga2
4,sac,Pusher-v5,1,4,-39.9847339779226,100,100,1.0,ga2
5,sac,Pusher-v5,1,5,-32.414507106320904,100,100,1.0,ga2
6,sac,Pusher-v5,1,6,-31.03572719356448,100,100,1.0,ga2
7,sac,Pusher-v5,1,7,-36.14129139668409,100,100,1.0,ga2
8,sac,Pusher-v5,1,8,-31.094391569698637,100,100,1.0,ga2
9,sac,Pusher-v5,1,9,-34.80002982366906,100,100,1.0,ga2
10,sac,Pusher-v5,1,10,-38.078115078571976,100,100,1.0,ga2
11,sac,Pusher-v5,1,11,-36.55356307854142,100,100,1.0,ga2
12,sac,Pusher-v5,1,12,-41.255391059010925,100,100,1.0,ga2
13,sac,Pusher-v5,1,13,-34.47862014037004,100,100,1.0,ga2
14,sac,Pusher-v5,1,14,-40.444849591389385,100,100,1.0,ga2
15,sac,Pusher-v5,1,15,-39.21724860711981,100,100,1.0,ga2
16,sac,Pusher-v5,1,16,-36.14535870861848,100,100,1.0,ga2
17,sac,Pusher-v5,1,17,-33.20720632325085,100,100,1.0,ga2
18,sac,Pusher-v5,1,18,-34.35868514775067,100,100,1.0,ga2
19,sac,Pusher-v5,1,19,-34.23719835623399,100,100,1.0,ga2
20,sac,Pusher-v5,1,20,-33.645849535172566,100,100,1.0,ga2
21,sac,Pusher-v5,1,21,-35.35300696073791,100,100,1.0,ga2
22,sac,Pusher-v5,1,22,-42.43254393586631,100,100,1.0,ga2
23,sac,Pusher-v5,1,23,-32.97071351888134,100,100,1.0,ga2
24,sac,Pusher-v5,1,24,-44.62636585141532,100,100,1.0,ga2
25,sac,Pusher-v5,1,25,-32.37380712977506,100,100,1.0,ga2
26,sac,Pusher-v5,1,26,-39.34642116633771,100,100,1.0,ga2
27,sac,Pusher-v5,1,27,-35.12004378149492,100,100,1.0,ga2
28,sac,Pusher-v5,1,28,-39.61095246619798,100,100,1.0,ga2
29,sac,Pusher-v5,1,29,-35.57494890639411,100,100,1.0,ga2
30,sac,Pusher-v5,1,30,-32.35147739395341,100,100,1.0,ga2
31,sac,Pusher-v5,1,31,-37.21655037491022,100,100,1.0,ga2
32,sac,Pusher-v5,1,32,-35.95133158669678,100,100,1.0,ga2
33,sac,Pusher-v5,1,33,-42.82259229927894,100,100,1.0,ga2
34,sac,Pusher-v5,1,34,-32.262711967669304,100,100,1.0,ga2
35,sac,Pusher-v5,1,35,-36.785061307970366,100,100,1.0,ga2
36,sac,Pusher-v5,1,36,-40.606954968387576,100,100,1.0,ga2
37,sac,Pusher-v5,1,37,-31.995550790721232,100,100,1.0,ga2
38,sac,Pusher-v5,1,38,-38.797548412781104,100,100,1.0,ga2
39,sac,Pusher-v5,1,39,-33.0010221195106,100,100,1.0,ga2
40,sac,Pusher-v5,1,40,-39.2703191311513,100,100,1.0,ga2
41,sac,Pusher-v5,1,41,-41.252766153970654,100,100,1.0,ga2
42,sac,Pusher-v5,1,42,-35.91540024168763,100,100,1.0,ga2
43,sac,Pusher-v5,1,43,-39.61745989601366,100,100,1.0,ga2
44,sac,Pusher-v5,1,44,-31.425755696175862,100,100,1.0,ga2
45,sac,Pusher-v5,1,45,-32.70462116158276,100,100,1.0,ga2
46,sac,Pusher-v5,1,46,-36.45064633665469,100,100,1.0,ga2
47,sac,Pusher-v5,1,47,-30.888254456441828,100,100,1.0,ga2
48,sac,Pusher-v5,1,48,-31.594914921951688,100,100,1.0,ga2
49,sac,Pusher-v5,1,49,-31.70936789088188,100,100,1.0,ga2
50,sac,Pusher-v5,1,50,-37.50643953375204,100,100,1.0,ga2
51,sac,Pusher-v5,1,51,-38.05761733626637,100,100,1.0,ga2
52,sac,Pusher-v5,1,52,-42.289527638476,100,100,1.0,ga2
53,sac,Pusher-v5,1,53,-35.74279261392761,100,100,1.0,ga2
54,sac,Pusher-v5,1,54,-38.01937772627896,100,100,1.0,ga2
55,sac,Pusher-v5,1,55,-35.84812718878796,100,100,1.0,ga2
56,sac,Pusher-v5,1,56,-36.05141880435298,100,100,1.0,ga2
57,sac,Pusher-v5,1,57,-35.21689030882123,100,100,1.0,ga2
58,sac,Pusher-v5,1,58,-30.90778850787521,100,100,1.0,ga2
59,sac,Pusher-v5,1,59,-41.38190822304751,100,100,1.0,ga2
60,sac,Pusher-v5,1,60,-34.53899278808628,100,100,1.0,ga2
61,sac,Pusher-v5,1,61,-31.639866693430054,100,100,1.0,ga2
62,sac,Pusher-v5,1,62,-32.88436587132998,100,100,1.0,ga2
63,sac,Pusher-v5,1,63,-40.26304866231024,100,100,1.0,ga2
64,sac,Pusher-v5,1,64,-39.67866520132711,100,100,1.0,ga2
65,sac,Pusher-v5,1,65,-39.81439339318585,100,100,1.0,ga2
66,sac,Pusher-v5,1,66,-36.19569973119547,100,100,1.0,ga2
67,sac,Pusher-v5,1,67,-32.646949452265794,100,100,1.0,ga2
68,sac,Pusher-v5,1,68,-32.51370528466008,100,100,1.0,ga2
69,sac,Pusher-v5,1,69,-33.58698339475471,100,100,1.0,ga2
70,sac,Pusher-v5,1,70,-35.03272170069249,100,100,1.0,ga2
71,sac,Pusher-v5,1,71,-35.664659228843746,100,100,1.0,ga2
72,sac,Pusher-v5,1,72,-30.653801200057377,100,100,1.0,ga2
73,sac,Pusher-v5,1,73,-42.33582718835533,100,100,1.0,ga2
74,sac,Pusher-v5,1,74,-39.69383276598268,100,100,1.0,ga2
75,sac,Pusher-v5,1,75,-30.44997792957635,100,100,1.0,ga2
76,sac,Pusher-v5,1,76,-36.02846122980121,100,100,1.0,ga2
77,sac,Pusher-v5,1,77,-35.5094047010205,100,100,1.0,ga2
78,sac,Pusher-v5,1,78,-32.081509328917946,100,100,1.0,ga2
79,sac,Pusher-v5,1,79,-35.941129873839884,100,100,1.0,ga2
80,sac,Pusher-v5,1,80,-33.78245883480326,100,100,1.0,ga2
81,sac,Pusher-v5,1,81,-37.668653687161225,100,100,1.0,ga2
82,sac,Pusher-v5,1,82,-40.40521565289158,100,100,1.0,ga2
83,sac,Pusher-v5,1,83,-30.792986142405923,100,100,1.0,ga2
84,sac,Pusher-v5,1,84,-40.5164905010988,100,100,1.0,ga2
85,sac,Pusher-v5,1,85,-32.13425087018227,100,100,1.0,ga2
86,sac,Pusher-v5,1,86,-30.7883894526108,100,100,1.0,ga2
87,sac,Pusher-v5,1,87,-37.13361521444472,100,100,1.0,ga2
88,sac,Pusher-v5,1,88,-35.690231688262834,100,100,1.0,ga2
89,sac,Pusher-v5,1,89,-33.40167901550698,100,100,1.0,ga2
90,sac,Pusher-v5,1,90,-36.64597719337182,100,100,1.0,ga2
91,sac,Pusher-v5,1,91,-34.95936796320133,100,100,1.0,ga2
92,sac,Pusher-v5,1,92,-35.41168411146148,100,100,1.0,ga2
93,sac,Pusher-v5,1,93,-36.79114054289767,100,100,1.0,ga2
94,sac,Pusher-v5,1,94,-30.16801800453665,100,100,1.0,ga2
95,sac,Pusher-v5,1,95,-41.52747661097995,100,100,1.0,ga2
96,sac,Pusher-v5,1,96,-32.27234371626849,100,100,1.0,ga2
97,sac,Pusher-v5,1,97,-40.81362496663185,100,100,1.0,ga2
98,sac,Pusher-v5,1,98,-31.514630242373336,100,100,1.0,ga2
99,sac,Pusher-v5,1,99,-40.52215960504701,100,100,1.0,ga2
100,sac,Pusher-v5,2,0,-34.873047017456315,100,100,1.0,ga2
101,sac,Pusher-v5,2,1,-40.391258403618174,100,100,1.0,ga2
102,sac,Pusher-v5,2,2,-29.38042813788527,100,100,1.0,ga2
103,sac,Pusher-v5,2,3,-38.00892373305996,100,100,1.0,ga2
104,sac,Pusher-v5,2,4,-30.935703718513707,100,100,1.0,ga2
105,sac,Pusher-v5,2,5,-25.270993992660056,100,100,1.0,ga2
106,sac,Pusher-v5,2,6,-33.69201648527324,100,100,1.0,ga2
107,sac,Pusher-v5,2,7,-31.975785362111267,100,100,1.0,ga2
108,sac,Pusher-v5,2,8,-33.921414275303114,100,100,1.0,ga2
109,sac,Pusher-v5,2,9,-34.9264766859369,100,100,1.0,ga2
110,sac,Pusher-v5,2,10,-34.26514789206394,100,100,1.0,ga2
111,sac,Pusher-v5,2,11,-36.91516687328232,100,100,1.0,ga2
112,sac,Pusher-v5,2,12,-33.89065796787647,100,100,1.0,ga2
113,sac,Pusher-v5,2,13,-40.82363496367192,100,100,1.0,ga2
114,sac,Pusher-v5,2,14,-37.805360364494845,100,100,1.0,ga2
115,sac,Pusher-v5,2,15,-34.247979066215294,100,100,1.0,ga2
116,sac,Pusher-v5,2,16,-29.590596285799304,100,100,1.0,ga2
117,sac,Pusher-v5,2,17,-31.01735882372152,100,100,1.0,ga2
118,sac,Pusher-v5,2,18,-31.944924537219823,100,100,1.0,ga2
119,sac,Pusher-v5,2,19,-32.702380339450265,100,100,1.0,ga2
120,sac,Pusher-v5,2,20,-35.17024370048544,100,100,1.0,ga2
121,sac,Pusher-v5,2,21,-42.70253133735166,100,100,1.0,ga2
122,sac,Pusher-v5,2,22,-31.48719007366768,100,100,1.0,ga2
123,sac,Pusher-v5,2,23,-45.11044472050123,100,100,1.0,ga2
124,sac,Pusher-v5,2,24,-31.96752326729482,100,100,1.0,ga2
125,sac,Pusher-v5,2,25,-37.46615000371129,100,100,1.0,ga2
126,sac,Pusher-v5,2,26,-35.313819231319926,100,100,1.0,ga2
127,sac,Pusher-v5,2,27,-36.06542227580452,100,100,1.0,ga2
128,sac,Pusher-v5,2,28,-33.16331447973188,100,100,1.0,ga2
129,sac,Pusher-v5,2,29,-35.24365659728848,100,100,1.0,ga2
130,sac,Pusher-v5,2,30,-33.99650894601879,100,100,1.0,ga2
131,sac,Pusher-v5,2,31,-33.17854406098944,100,100,1.0,ga2
132,sac,Pusher-v5,2,32,-36.84403796184252,100,100,1.0,ga2
133,sac,Pusher-v5,2,33,-30.743044917854792,100,100,1.0,ga2
134,sac,Pusher-v5,2,34,-35.008861385401765,100,100,1.0,ga2
135,sac,Pusher-v5,2,35,-35.39851957060786,100,100,1.0,ga2
136,sac,Pusher-v5,2,36,-31.755512179617668,100,100,1.0,ga2
137,sac,Pusher-v5,2,37,-37.21395932840935,100,100,1.0,ga2
138,sac,Pusher-v5,2,38,-35.962963447328455,100,100,1.0,ga2
139,sac,Pusher-v5,2,39,-35.441442719218465,100,100,1.0,ga2
140,sac,Pusher-v5,2,40,-36.70112202123021,100,100,1.0,ga2
141,sac,Pusher-v5,2,41,-34.81926768389257,100,100,1.0,ga2
142,sac,Pusher-v5,2,42,-38.838914194699306,100,100,1.0,ga2
143,sac,Pusher-v5,2,43,-26.53288397676977,100,100,1.0,ga2
144,sac,Pusher-v5,2,44,-34.281508636053395,100,100,1.0,ga2
145,sac,Pusher-v5,2,45,-36.27097394819434,100,100,1.0,ga2
146,sac,Pusher-v5,2,46,-29.34885414330003,100,100,1.0,ga2
147,sac,Pusher-v5,2,47,-29.61333352883301,100,100,1.0,ga2
148,sac,Pusher-v5,2,48,-29.812657044283384,100,100,1.0,ga2
149,sac,Pusher-v5,2,49,-36.82358671191782,100,100,1.0,ga2
150,sac,Pusher-v5,2,50,-39.07595827154599,100,100,1.0,ga2
151,sac,Pusher-v5,2,51,-36.03671053302504,100,100,1.0,ga2
152,sac,Pusher-v5,2,52,-32.90178989309332,100,100,1.0,ga2
153,sac,Pusher-v5,2,53,-37.90472919428492,100,100,1.0,ga2
154,sac,Pusher-v5,2,54,-35.479765018212966,100,100,1.0,ga2
155,sac,Pusher-v5,2,55,-36.967018668965856,100,100,1.0,ga2
156,sac,Pusher-v5,2,56,-33.92488054438529,100,100,1.0,ga2
157,sac,Pusher-v5,2,57,-26.432999806125554,100,100,1.0,ga2
158,sac,Pusher-v5,2,58,-41.6750530604735,100,100,1.0,ga2
159,sac,Pusher-v5,2,59,-31.24067923499703,100,100,1.0,ga2
160,sac,Pusher-v5,2,60,-30.37211588549311,100,100,1.0,ga2
161,sac,Pusher-v5,2,61,-32.828222650567554,100,100,1.0,ga2
162,sac,Pusher-v5,2,62,-39.8334815554281,100,100,1.0,ga2
163,sac,Pusher-v5,2,63,-36.27476659152305,100,100,1.0,ga2
164,sac,Pusher-v5,2,64,-34.99398598787857,100,100,1.0,ga2
165,sac,Pusher-v5,2,65,-37.27267791049987,100,100,1.0,ga2
166,sac,Pusher-v5,2,66,-28.607354610469056,100,100,1.0,ga2
167,sac,Pusher-v5,2,67,-28.199110451433736,100,100,1.0,ga2
168,sac,Pusher-v5,2,68,-30.615574145632763,100,100,1.0,ga2
169,sac,Pusher-v5,2,69,-32.118757614602565,100,100,1.0,ga2
170,sac,Pusher-v5,2,70,-36.62344927122853,100,100,1.0,ga2
171,sac,Pusher-v5,2,71,-29.85218606998461,100,100,1.0,ga2
172,sac,Pusher-v5,2,72,-36.36699473772055,100,100,1.0,ga2
173,sac,Pusher-v5,2,73,-39.6450902873533,100,100,1.0,ga2
174,sac,Pusher-v5,2,74,-33.865589133500094,100,100,1.0,ga2
175,sac,Pusher-v5,2,75,-34.61363128230789,100,100,1.0,ga2
176,sac,Pusher-v5,2,76,-31.02800181237817,100,100,1.0,ga2
177,sac,Pusher-v5,2,77,-34.65251179027588,100,100,1.0,ga2
178,sac,Pusher-v5,2,78,-36.32713869526108,100,100,1.0,ga2
179,sac,Pusher-v5,2,79,-33.95287207600605,100,100,1.0,ga2
